Morin with 1154 (Officer)<br>
Forestien with 159.1 (Recruit 1)<br>
Nandainea with 156.6 (Recruit 1)<br>
Danaru with 154.9 (New Member)<br>
Farya with 151 (Guild Member)<br>
Laukai with 150.9 (Recruit 2)<br>
Tanlaen with 148.8 (Recruit 2)<br>
Menlu with 148.8 (Recruit 2)<br>
Graace with 147.4 (Guild Member)<br>
Honeylove with 145.4 (Recruit 1)<br>
Choka with 134.1 (New Member)<br>
Aldrik with 128.1 (Recruit 1)<br>
Fazuno with 127.8 (New Member)<br>
Horizon with 118.5 (Guild Member)<br>
Bhygkontryy with 113 (Recruit 1)<br>
Rushy with 109.3 (Recruit 1)<br>
Nophur with 106.7 (New Member)<br>
Tankum with 105.5 (Recruit 1)<br>
Chaoticknyte with 103.8 (Recruit 1)<br>
Humadce with 103.1 (Recruit 1)<br>
Barnitz with 93.2 (Recruit 1)<br>
Caealorn with 91.2 (Guild Member)<br>
Ravenshadow with 78.6 (Guild Member)<br>
Cilla with 76.8 (Recruit 2)<br>
Gromly with 76 (Recruit 1)<br>
Specimenz with 74.6 (Recruit 1)<br>
Asuah with 72.6 (Recruit 1)<br>
Kandidar with 70.8 (Recruit 1)<br>
Emryes with 67.5 (Recruit 2)<br>
Beardgoes with 66.5 (Recruit 1)<br>
Loui with 63.4 (Recruit 1)<br>
Coleen with 63.3 (Recruit 1)<br>
Popp with 57.2 (Recruit 1)<br>
Rezum with 54.9 (Recruit 1)<br>
Robbarick with 50.5 (Recruit 1)<br>
Bokus with 50.2 (Recruit 1)<br>
Ojion with 48.7 (Recruit 1)<br>
Flarisk with 48.5 (Recruit 1)<br>
Amberly with 39.3 (Recruit 1)<br>
Wreckgarr with 37 (Recruit 1)<br>
Zaralie with 28.8 (Recruit 1)<br>
Nebachadrezzer with 24.6 (Recruit 1)<br>
Cildiari with 19.6 (Recruit 1)<br>
Benacrook with 19.3 (Recruit 1)<br>
Awiz with 18.1 (Recruit 1)<br>
Calavante with 16.6 (Recruit 1)<br>
Darkadian with 9.1 (Recruit 1)<br>
Nali with 6.7 (Recruit 1)<br>
Rot with 3 (Guild Member)<br>
